x, y, height, width
72,352,16,16
72,1280,16,128
72,1456,16,64
72,1744,16,16
72,1936,16,48
72,2048,16,64
72,3008,16,32
88,2992,16,48
104,2976,16,64
120,1024,16,16
120,2960,16,80
136,256,16,16
136,320,16,80
136,736,16,32
136,912,16,32
136,1232,16,48
136,1504,16,16
136,1600,16,32
136,1696,16,16
136,1744,16,16
136,1792,16,16
136,1888,16,16
136,2064,16,32
136,2192,16,16
136,2240,16,16
136,2416,16,32
136,2480,16,16
136,2688,16,64
136,2944,16,96
152,608,16,32
152,736,16,32
152,912,16,32
152,2176,16,32
152,2240,16,32
152,2400,16,48
152,2480,16,32
152,2928,16,112
154,736,16,32
154,912,16,32
156,736,16,32
156,912,16,32
158,736,16,32
158,912,16,32
160,736,16,32
160,912,16,32
162,736,16,32
162,912,16,32
164,736,16,32
164,912,16,32
166,736,16,32
166,912,16,32
168,448,16,32
168,608,16,32
168,736,16,32
168,912,16,32
168,2160,16,48
168,2240,16,48
168,2384,16,64
168,2480,16,48
168,2608,16,32
168,2864,16,32
168,2912,16,128
170,608,16,32
170,736,16,32
170,912,16,32
172,608,16,32
172,736,16,32
172,912,16,32
174,608,16,32
174,736,16,32
174,912,16,32
176,608,16,32
176,736,16,32
176,912,16,32
178,608,16,32
178,736,16,32
178,912,16,32
180,608,16,32
180,736,16,32
180,912,16,32
182,608,16,32
182,736,16,32
182,912,16,32
184,448,16,32
184,608,16,32
184,736,16,32
184,912,16,32
184,2144,16,64
184,2240,16,64
184,2368,16,80
184,2480,16,64
184,2608,16,32
184,2864,16,176
184,3168,16,16
200,0,16,1104
200,1136,16,240
200,1424,16,1024
200,2480,16,896
