x, y, height, width
72,352,16,16
72,1280,16,16
72,1288,16,16
72,1296,16,16
72,1312,16,16
72,1320,16,16
72,1328,16,16
72,1336,16,16
72,1344,16,16
72,1352,16,16
72,1360,16,16
72,1368,16,16
72,1376,16,16
72,1384,16,16
72,1392,16,16
72,1456,16,16
72,1464,16,16
72,1472,16,16
72,1480,16,16
72,1488,16,16
72,1504,16,16
72,1744,16,16
72,1936,16,16
72,1944,16,16
72,1952,16,16
72,1960,16,16
72,1968,16,16
72,2048,16,16
72,2064,16,16
72,2080,16,16
72,2096,16,16
72,3008,16,16
72,3024,16,16
88,2992,16,16
88,3008,16,16
88,3024,16,16
104,2976,16,16
104,2992,16,16
104,3008,16,16
104,3024,16,16
120,1024,16,16
120,2960,16,16
120,2976,16,16
120,2992,16,16
120,3008,16,16
120,3024,16,16
136,256,16,16
136,320,16,16
136,336,16,16
136,352,16,16
136,368,16,16
136,384,16,16
136,736,16,32
136,912,16,32
136,1232,16,16
136,1248,16,16
136,1264,16,16
136,1504,16,16
136,1600,16,16
136,1616,16,16
136,1696,16,16
136,1744,16,16
136,1792,16,16
136,1888,16,16
136,2064,16,16
136,2072,16,16
136,2080,16,16
136,2192,16,16
136,2240,16,16
136,2416,16,16
136,2432,16,16
136,2480,16,16
136,2688,16,16
136,2696,16,16
136,2704,16,16
136,2720,16,16
136,2736,16,16
136,2944,16,16
136,2960,16,16
136,2976,16,16
136,2992,16,16
136,3008,16,16
136,3024,16,16
152,608,16,32
152,736,16,32
152,912,16,32
152,2176,16,16
152,2192,16,16
152,2240,16,16
152,2256,16,16
152,2400,16,16
152,2416,16,16
152,2432,16,16
152,2480,16,16
152,2496,16,16
152,2928,16,16
152,2944,16,16
152,2960,16,16
152,2976,16,16
152,2992,16,16
152,3008,16,16
152,3024,16,16
154,736,16,32
154,912,16,32
156,736,16,32
156,912,16,32
158,736,16,32
158,912,16,32
160,736,16,32
160,912,16,32
162,736,16,32
162,912,16,32
164,736,16,32
164,912,16,32
166,736,16,32
166,912,16,32
168,448,16,32
168,608,16,32
168,736,16,32
168,912,16,32
168,2160,16,16
168,2176,16,16
168,2192,16,16
168,2240,16,16
168,2256,16,16
