x, y, height, width
40,3040,160,32
72,448,16,64
72,848,16,80
72,1104,16,64
72,1296,16,80
72,1472,16,64
72,2000,16,64
72,2624,16,80
72,2752,16,16
72,2976,16,16
120,384,16,16
120,2080,80,32
136,240,16,48
136,368,16,32
136,448,16,16
136,544,32,16
136,736,64,32
136,1088,16,16
136,1184,64,32
136,1264,16,64
136,1360,16,48
136,1648,64,32
136,1952,64,32
136,2576,16,16
136,2720,16,16
136,2960,16,32
152,352,16,48
152,2016,48,32
152,2464,48,16
152,2816,48,32
168,336,16,64
168,544,32,32
168,1840,32,32
184,320,16,80
184,3200,16,16
200,0,16,1472
200,1536,16,160
200,1744,16,480
200,2272,16,160
200,2464,16,944
